sequence,success_auc,precision_20px,norm_precision_0.20,norm_precision_auc,state_accuracy,mean_iou_present,present_frame_output_rate,absent_frame_fp_rate,n_frames,n_present,n_absent
video01,0.6447165532879819,0.7590476190476191,0.7495238095238095,0.6850046685340803,0.6569670212097828,0.6569670212097828,0.9457142857142857,nan,1050,1050,0
video02,0.6540447504302925,0.8795180722891566,0.8072289156626506,0.6756437514764942,0.6635889524170866,0.6635889524170866,0.9879518072289156,nan,83,83,0
video03,0.7771428571428574,1.0,0.99,0.8794117647058822,0.7926022777414896,0.7926022777414896,1.0,nan,100,100,0
video04,0.3069403714565005,0.25806451612903225,0.17595307917888564,0.2294290150077626,0.30818127511855653,0.30818127511855653,1.0,nan,341,341,0
video05,0.7592592592592592,0.9177777777777778,0.8844444444444445,0.822004357298475,0.77447690576789,0.77447690576789,0.9844444444444445,nan,450,450,0
video06,0.8666666666666666,1.0,1.0,0.9238235294117649,0.885752416058092,0.885752416058092,1.0,nan,200,200,0
video07,0.7778299059087236,0.8883415435139573,0.8910782703886152,0.8207497558410336,0.6343298917077933,0.7937263992530529,0.9857690202517789,0.8116385911179173,2480,1827,653
video08,0.7728902371759515,0.9362934362934363,0.9329150579150579,0.839304640775229,0.7458304572859129,0.7867467200984697,0.9864864864864865,0.6180257510729614,2305,2072,233
video09,0.7654411316383147,0.9929577464788732,0.9961587708066582,0.8640757199166478,0.7505436478545376,0.7780788217902331,1.0,0.2953091684434968,2500,1562,938
video10,0.5356988048795591,0.7672301690507152,0.7238838318162115,0.6544277008592774,0.569920645052168,0.5417169049468844,0.9237104464672735,0.23170731707317074,2635,2307,328
video11,0.6675732417215384,0.9038076152304609,0.9188376753507014,0.840425949939094,0.67668468178438,0.678040763311002,0.9939879759519038,1.0,1000,998,2
video12,0.34034450850594344,0.703288490284006,0.70254110612855,0.6267182508279844,0.30968053498136844,0.3392194278380659,0.952914798206278,0.9591836734693877,1485,1338,147
video13,0.3561725630691148,0.7079414838035528,0.6739811912225705,0.5737086893273505,0.3561998755970621,0.35586351189570214,0.7079414838035528,0.0,1915,1914,1
video14,0.3799031476997579,0.7813559322033898,0.6864406779661016,0.5997008973080759,0.3785880657490205,0.3785880657490205,0.8627118644067797,nan,590,590,0
video15,0.35281189398836454,0.7357466063348417,0.6895927601809955,0.6149764883328898,0.4506668655121218,0.3514934556030447,0.7583710407239819,0.10204081632653061,1350,1105,245
video16,0.20155642023346304,0.4233463035019455,0.38365758754863816,0.34189364461738,0.20080667003903668,0.20080667003903668,0.4490272373540856,nan,1285,1285,0
video17,0.32362637362637364,0.6166666666666667,0.4897435897435897,0.4724736048265459,0.32294562072637567,0.32294562072637567,0.7589743589743589,nan,780,780,0
video18,0.5813538530166165,0.9836065573770492,0.9836065573770492,0.890388942462231,0.5968304919469994,0.5861172906869939,0.9867291178766588,0.05128205128205128,1320,1281,39
video19,0.41098901098901097,0.8761538461538462,0.8546153846153847,0.7545550527903471,0.40960026974506003,0.40960026974506003,0.8923076923076924,nan,1300,1300,0
video20,0.41010630551914945,0.6305810397553517,0.5688073394495413,0.5338130359177309,0.41426880604446475,0.41426880604446475,0.9840978593272172,nan,1635,1635,0
