sequence,all_recall,all_precision,all_uav_iou,all_dice,all_uav_iou_per_image,all_miou_per_image,all_absent_frames,all_absent_frames_with_pred,all_n_images,track_recall,track_precision,track_uav_iou,track_dice,track_uav_iou_per_image,track_miou_per_image,track_absent_frames,track_absent_frames_with_pred,track_n_images
video01,0.7044817151459918,0.6568080392070953,0.5149335577517592,0.6798100881941616,0.6071321540888618,0.8028469588453788,0,0,1050,0.6911706703859045,0.8004019366036357,0.5895555720985632,0.7417866760332513,0.6753330222913381,0.837145131670969,0,0,1050
video02,0.9373521888122014,0.8432181312955888,0.7982326346074805,0.8877968503577061,0.8048508371391322,0.9023125101550528,0,0,83,0.888894251653072,0.8480453101257079,0.7667679753528457,0.8679894429258177,0.7467490652684001,0.8732457151165278,0,0,83
video03,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100
video04,0.8908925256136974,0.3375561779456784,0.3241554444979578,0.489603310313554,0.4035989148640102,0.7005887459998961,0,0,341,0.3868957574090628,0.19521471754083147,0.1490926193969786,0.2594962614505687,0.28192309667154125,0.6395241698350106,0,0,341
video05,0.8418637282288274,0.84326404827604,0.7279562770972356,0.8425633064282355,0.7821820556042242,0.8908837006429874,0,0,450,0.8317456843839708,0.9386440234760881,0.7888568062363793,0.881967526395894,0.7937236042858958,0.8967150997404446,0,0,450
video06,0.9754682007031,0.814825888709729,0.7984638888307557,0.8879398622230497,0.7681206374341529,0.8838763580257385,0,0,200,0.9754682007031,0.840281907278934,0.8228925147472743,0.9028426065607714,0.8015249251636648,0.9006055716166856,0,0,200
video07,0.8535178866889396,0.6176312837092801,0.5584375334672143,0.7166633522035388,0.5796476914788077,0.7884161847121267,653,625,2480,0.8401984757758018,0.7206336560115051,0.6337687436053442,0.7758365387830414,0.6151967731219004,0.8065850648581238,653,530,2480
video08,0.8018903840038458,0.8423159827777773,0.6972255197404332,0.8216062174778801,0.7424474016887608,0.8708368340759907,233,186,2305,0.7907544068401385,0.9257025708425781,0.7435631242353348,0.85292366407604,0.7793499815146755,0.8893719173226107,233,144,2305
video09,0.869058412122782,0.923484569716602,0.8106843221066473,0.895445232732179,0.782071420576918,0.8909219331070337,938,273,2500,0.8690843155031731,0.9238266106885052,0.8109704512522629,0.8956197498324583,0.7804789809812714,0.8901259216034896,938,277,2500
video10,0.6058803319376669,0.8836785232345621,0.5611281210349603,0.7188751691474966,0.6050603693159349,0.8022894745194016,328,76,2635,0.5963416146677558,0.8901628564679746,0.5554687997960355,0.7142140039952876,0.5993377294931834,0.7994264502210487,328,76,2635
video11,0.8658751692405616,0.894517166245939,0.7856555531627479,0.8799631617320565,0.7594490569237741,0.879389731490125,2,2,1000,0.8592066865529946,0.8967959057857801,0.7818943121058425,0.8775989763184101,0.7537198295719961,0.8765202639380358,2,2,1000
video12,0.6061251984795265,0.5078492872347288,0.38183791189638294,0.5526522446794976,0.4979629518995433,0.7487195125243531,147,139,1485,0.5824712505413078,0.6914623210011938,0.4623137263887934,0.6323044337831449,0.49331506391575997,0.7464766795231574,147,141,1485
video13,0.4373393213115505,0.9011028439777921,0.4173090966334192,0.5888752109538663,0.41575341484901507,0.7077439690535812,1,0,1915,0.4372064248562198,0.9040557187529612,0.41781991766663745,0.5893836198242444,0.4167134630211049,0.7082243119702974,1,0,1915
video14,0.5170356096689226,0.9201698102771171,0.49483915106265897,0.6620634075724938,0.4776212073726728,0.7385909158762343,0,0,590,0.5002059036060326,0.9248373055208379,0.480665705987322,0.6492562150168928,0.4609372796997349,0.7302437025882818,0,0,590
video15,0.5731998525282891,0.9620997915060121,0.5605426932762388,0.7183945632393085,0.612457313217933,0.8061167031869972,245,30,1350,0.5715606477411305,0.964388936740358,0.5597469254441025,0.717740700511049,0.6152681465420207,0.8075220791004528,245,25,1350
video16,0.29864096759230413,0.9261422191686706,0.2916939972004517,0.4516456650455195,0.30458212754745806,0.652135583524565,0,0,1285,0.2960585983204215,0.9267494527880719,0.28928907259455694,0.4487575032531587,0.30232665296338,0.6510073817904584,0,0,1285
video17,0.4675003913519907,0.8749064158067771,0.43820920829529153,0.6093817307910309,0.43645078174767904,0.7180568423385736,0,0,780,0.45731654288348145,0.8835142309889445,0.43131095235361183,0.6026795947370834,0.4311766140562487,0.7154187380459591,0,0,780
video18,0.8801929777539533,0.962955722803245,0.8513653646733494,0.9197162061239731,0.8209175658047946,0.9104165082662479,39,2,1320,0.8801929777539533,0.9630332407583102,0.8514259569925271,0.9197515609812352,0.8209175658047946,0.9104165284957031,39,2,1320
video19,0.5995431397975044,0.9776778837401447,0.5914470395879398,0.7432820884081424,0.6464572213361713,0.8231578450247355,0,0,1300,0.5981862993464838,0.9780951177387421,0.5902785427983086,0.7423586836047403,0.6456109759744156,0.8227345404844463,0,0,1300
video20,0.5942746997666164,0.6921897355002018,0.4700542339608728,0.6395059761766365,0.532401585425262,0.7659525780013527,0,0,1635,0.5412547283017798,0.7052455329661761,0.4414027282978062,0.6124627345739402,0.4993526918758684,0.7494226035975384,0,0,1635
