sequence,success_auc,precision_20px,norm_precision_0.20,norm_precision_auc,state_accuracy,mean_iou_present,present_frame_output_rate,absent_frame_fp_rate,n_frames,n_present,n_absent
video01,0.6296145124716553,0.74,0.7352380952380952,0.6688515406162464,0.6415593360644533,0.6415593360644533,0.9361904761904762,nan,1050,1050,0
video02,0.6769936890418817,0.9156626506024096,0.8433734939759037,0.6992676588707769,0.6869450411179164,0.6869450411179164,0.9759036144578314,nan,83,83,0
video03,0.7771428571428574,1.0,0.99,0.8794117647058822,0.7926022777414896,0.7926022777414896,1.0,nan,100,100,0
video04,0.3047060466415305,0.2668621700879765,0.17595307917888564,0.2321890633086079,0.30525970227035937,0.30525970227035937,1.0,nan,341,341,0
video05,0.7421164021164021,0.9066666666666666,0.8688888888888889,0.8091503267973856,0.7566168825830414,0.7566168825830414,0.9688888888888889,nan,450,450,0
video06,0.8666666666666666,1.0,1.0,0.9238235294117649,0.885752416058092,0.885752416058092,1.0,nan,200,200,0
video07,0.7251544295879271,0.8401751505199782,0.8456486042692939,0.7838093091642788,0.6180044806897534,0.7381779486100648,0.9660645867542419,0.7182235834609495,2480,1827,653
video08,0.758181651038794,0.9218146718146718,0.9184362934362934,0.8280149897796956,0.7389523793705056,0.7713731826491387,0.9826254826254827,0.5493562231759657,2305,2072,233
video09,0.7652277300164622,0.9929577464788732,0.9955185659411011,0.8639250834776933,0.7515953218774585,0.7778414242596966,1.0,0.2921108742004264,2500,1562,938
video10,0.5261832518009371,0.7572605114867794,0.716514954486346,0.6444495440135307,0.5615006575176396,0.5320997973814392,0.9150411790203727,0.23170731707317074,2635,2307,328
video11,0.6602252123294207,0.8937875751503006,0.905811623246493,0.8326260363864983,0.668867112893327,0.6702075279492254,0.9879759519038076,1.0,1000,998,2
video12,0.3410918926613994,0.7055306427503737,0.7055306427503737,0.6285061109645652,0.31229261528424684,0.3398763331069556,0.9469357249626308,0.9387755102040817,1485,1338,147
video13,0.3532616808478878,0.7079414838035528,0.6650992685475444,0.5724896019013667,0.3529393797252136,0.35260131252548804,0.7084639498432602,0.0,1915,1914,1
video14,0.3796610169491525,0.7661016949152543,0.6711864406779661,0.5901628447989365,0.3784197019558867,0.3784197019558867,0.847457627118644,nan,590,590,0
video15,0.3328162034044387,0.7013574660633484,0.644343891402715,0.5836749179309734,0.43320697848936357,0.3301623719100822,0.751131221719457,0.10204081632653061,1350,1105,245
video16,0.19551602742264218,0.421011673151751,0.37120622568093387,0.33542381933318066,0.19430973474418306,0.19430973474418306,0.44591439688715956,nan,1285,1285,0
video17,0.3117216117216117,0.6089743589743589,0.4641025641025641,0.4573403720462544,0.3111094126824212,0.3111094126824212,0.7423076923076923,nan,780,780,0
video18,0.5813538530166165,0.9836065573770492,0.9836065573770492,0.890388942462231,0.5975880677045752,0.5861172906869939,0.9867291178766588,0.02564102564102564,1320,1281,39
video19,0.40970695970695964,0.8753846153846154,0.8569230769230769,0.7548868778280541,0.4081728892546102,0.4081728892546102,0.8923076923076924,nan,1300,1300,0
video20,0.3880005824959953,0.5767584097859327,0.5155963302752293,0.4881813275769023,0.392387172773187,0.392387172773187,0.9798165137614679,nan,1635,1635,0
