sequence,all_recall,all_precision,all_uav_iou,all_dice,all_uav_iou_per_image,all_miou_per_image,all_absent_frames,all_absent_frames_with_pred,all_n_images,track_recall,track_precision,track_uav_iou,track_dice,track_uav_iou_per_image,track_miou_per_image,track_absent_frames,track_absent_frames_with_pred,track_n_images
video01,0.7044817151459918,0.6568080392070953,0.5149335577517592,0.6798100881941616,0.6071321540888618,0.8028469588453788,0,0,1050,0.6715943211132203,0.8197057130507638,0.5851566315801788,0.7382950301849474,0.6613250893732421,0.8301467125398264,0,0,1050
video02,0.9373521888122014,0.8432181312955888,0.7982326346074805,0.8877968503577061,0.8048508371391322,0.9023125101550528,0,0,83,0.9035667744582268,0.8680793842158954,0.7944746223052114,0.885467659926688,0.7774144310206212,0.8885958388718883,0,0,83
video03,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100,0.900610794864337,0.9449797270785194,0.855738481582376,0.922261935154455,0.8175957410978612,0.9087280955558984,0,0,100
video04,0.8908925256136974,0.3375561779456784,0.3241554444979578,0.489603310313554,0.4035989148640102,0.7005887459998961,0,0,341,0.36947328611703223,0.19444607792137297,0.14599883842174802,0.25479753299369023,0.2790831133583255,0.6381347539159169,0,0,341
video05,0.8418637282288274,0.84326404827604,0.7279562770972356,0.8425633064282355,0.7821820556042242,0.8908837006429874,0,0,450,0.8209453805851988,0.9447925925925926,0.7833668060852849,0.8785257227085815,0.7822189659209048,0.8909598840768975,0,0,450
video06,0.9754682007031,0.814825888709729,0.7984638888307557,0.8879398622230497,0.7681206374341529,0.8838763580257385,0,0,200,0.9754682007031,0.8403004140604352,0.8229102634615592,0.9028532890027391,0.8015346570083127,0.9006104566768866,0,0,200
video07,0.8535178866889396,0.6176312837092801,0.5584375334672143,0.7166633522035388,0.5796476914788077,0.7884161847121267,653,625,2480,0.7862524229371134,0.7797091975561514,0.6433410024700466,0.7829671401164626,0.6138625829356209,0.8060215271818796,653,469,2480
video08,0.8018903840038458,0.8423159827777773,0.6972255197404332,0.8216062174778801,0.7424474016887608,0.8708368340759907,233,186,2305,0.7669678461536165,0.9315985514368665,0.7260796531032938,0.8413049210074235,0.7790850894881411,0.8892210907600442,233,128,2305
video09,0.869058412122782,0.923484569716602,0.8106843221066473,0.895445232732179,0.782071420576918,0.8909219331070337,938,273,2500,0.8678941233409907,0.9241511866257092,0.8101834823854619,0.8951396256448005,0.7813388031340476,0.8905554052954338,938,274,2500
video10,0.6058803319376669,0.8836785232345621,0.5611281210349603,0.7188751691474966,0.6050603693159349,0.8022894745194016,328,76,2635,0.5900846381175182,0.8892304717710751,0.5496800873285898,0.7094110478971872,0.5950039936640634,0.7972564472537554,328,76,2635
video11,0.8658751692405616,0.894517166245939,0.7856555531627479,0.8799631617320565,0.7594490569237741,0.879389731490125,2,2,1000,0.8563990463193212,0.8974262591376774,0.7800448083485029,0.876432778197551,0.7509700017547319,0.8751427892493479,2,2,1000
video12,0.6061251984795265,0.5078492872347288,0.38183791189638294,0.5526522446794976,0.4979629518995433,0.7487195125243531,147,139,1485,0.5837463311360246,0.712532155568346,0.4724740629965417,0.641741779865431,0.49682635610121045,0.7482391779114483,147,138,1485
video13,0.4373393213115505,0.9011028439777921,0.4173090966334192,0.5888752109538663,0.41575341484901507,0.7077439690535812,1,0,1915,0.437041449946154,0.9045717537702741,0.4177793548160998,0.5893432619073368,0.4167302025516526,0.7082327096569605,1,0,1915
video14,0.5170356096689226,0.9201698102771171,0.49483915106265897,0.6620634075724938,0.4776212073726728,0.7385909158762343,0,0,590,0.4965773381714206,0.9259769049102421,0.477617517375383,0.646469755209387,0.45750188962132776,0.7285248962168467,0,0,590
video15,0.5731998525282891,0.9620997915060121,0.5605426932762388,0.7183945632393085,0.612457313217933,0.8061167031869972,245,30,1350,0.568639573466436,0.9646207580029058,0.557022368903557,0.7154969382948657,0.6127367816437079,0.8062557312925644,245,25,1350
video16,0.29864096759230413,0.9261422191686706,0.2916939972004517,0.4516456650455195,0.30458212754745806,0.652135583524565,0,0,1285,0.2958093616078537,0.9278393051031487,0.28915703418965377,0.4485986214571817,0.30271451608362326,0.651201344547627,0,0,1285
video17,0.4675003913519907,0.8749064158067771,0.43820920829529153,0.6093817307910309,0.43645078174767904,0.7180568423385736,0,0,780,0.4455585897413598,0.8846851202707603,0.4211023803261441,0.5926418619177892,0.42200674307216574,0.7108311213547209,0,0,780
video18,0.8801929777539533,0.962955722803245,0.8513653646733494,0.9197162061239731,0.8209175658047946,0.9104165082662479,39,2,1320,0.8801929777539533,0.9631716967243283,0.8515341790172103,0.9198147014161008,0.8216751415623702,0.9107953524985181,39,1,1320
video19,0.5995431397975044,0.9776778837401447,0.5914470395879398,0.7432820884081424,0.6464572213361713,0.8231578450247355,0,0,1300,0.5981862993464838,0.9780951177387421,0.5902785427983086,0.7423586836047403,0.645622724742177,0.8227404148693407,0,0,1300
video20,0.5942746997666164,0.6921897355002018,0.4700542339608728,0.6395059761766365,0.532401585425262,0.7659525780013527,0,0,1635,0.5069747372465772,0.6814183268281532,0.4098340203534483,0.581393290893494,0.47207341411595716,0.735766270231389,0,0,1635
