sequence,success_auc,precision_20px,norm_precision_0.20,norm_precision_auc,state_accuracy,mean_iou_present,present_frame_output_rate,absent_frame_fp_rate,n_frames,n_present,n_absent
video01,0.6299773242630385,0.74,0.7352380952380952,0.6696732026143791,0.641640529721389,0.641640529721389,1.0,nan,1050,1050,0
video02,0.6769936890418817,0.9156626506024096,0.8433734939759037,0.6992676588707769,0.6869450411179164,0.6869450411179164,1.0,nan,83,83,0
video03,0.7771428571428574,1.0,0.99,0.8794117647058822,0.7926022777414896,0.7926022777414896,1.0,nan,100,100,0
video04,0.3047060466415305,0.2668621700879765,0.17595307917888564,0.2321890633086079,0.30525970227035937,0.30525970227035937,1.0,nan,341,341,0
video05,0.743174603174603,0.9088888888888889,0.8688888888888889,0.8101960784313725,0.757632878280946,0.757632878280946,1.0,nan,450,450,0
video06,0.8666666666666666,1.0,1.0,0.9238235294117649,0.885752416058092,0.885752416058092,1.0,nan,200,200,0
video07,0.7252586858498189,0.8412698412698413,0.8467432950191571,0.7850864483724525,0.5438142177302875,0.7381824083038385,1.0,1.0,2480,1827,653
video08,0.7587562051847767,0.9222972972972973,0.9184362934362934,0.8287531228707699,0.6972550917790169,0.7718016344356342,1.0,0.9656652360515021,2305,2072,233
video09,0.7652277300164622,0.9929577464788732,0.9955185659411011,0.8639250834776933,0.6815953218774584,0.7778414242596966,1.0,0.47867803837953093,2500,1562,938
video10,0.5297954465704791,0.7715648027741656,0.7230169050715215,0.6565355227483277,0.5256509343169239,0.5344994416667076,0.9856957087126138,0.5365853658536586,2635,2307,328
video11,0.6610363584311479,0.8947895791583166,0.906813627254509,0.8343156902039373,0.669473232989548,0.6708148627149781,1.0,1.0,1000,998,2
video12,0.3423019431988042,0.7137518684603886,0.7130044843049327,0.6349541311292828,0.3071440843780294,0.3408886138276336,1.0,1.0,1485,1338,147
video13,0.38520674727571286,0.8772204806687566,0.7596656217345873,0.6768188989284324,0.38146360248711964,0.3811404382250962,0.8834900731452455,0.0,1915,1914,1
video14,0.3972558514931397,0.8305084745762712,0.7101694915254237,0.6345962113659023,0.394824495315155,0.394824495315155,0.9813559322033898,nan,590,590,0
video15,0.35393234216763625,0.7819004524886878,0.6877828054298643,0.6391447076568184,0.38834928498480975,0.3486620223796318,0.9366515837104072,0.4326530612244898,1350,1105,245
video16,0.2183805818047063,0.554863813229572,0.41245136186770426,0.3981383993286032,0.21319767110727195,0.21319767110727195,0.7066147859922179,nan,1285,1285,0
video17,0.3236874236874237,0.6551282051282051,0.4846153846153846,0.48624937154348924,0.3213040420008599,0.3213040420008599,0.982051282051282,nan,780,780,0
video18,0.5824318798557675,0.9882903981264637,0.9843871975019516,0.8918889960355727,0.5849460930046559,0.5871419537596767,0.9937548790007806,0.48717948717948717,1320,1281,39
video19,0.41600732600732604,0.9061538461538462,0.8669230769230769,0.7721719457013576,0.4135529746948165,0.4135529746948165,0.9615384615384616,nan,1300,1300,0
video20,0.39018494247852037,0.5828746177370031,0.5186544342507645,0.49281045751633984,0.39447130878686104,0.39447130878686104,1.0,nan,1635,1635,0
