sequence,all_recall,all_precision,all_uav_iou,all_dice,all_uav_iou_per_image,all_miou_per_image,all_absent_frames,all_absent_frames_with_pred,all_n_images,track_recall,track_precision,track_uav_iou,track_dice,track_uav_iou_per_image,track_miou_per_image,track_absent_frames,track_absent_frames_with_pred,track_n_images
video01,0.7044817151459918,0.6568080392070953,0.5149335577517592,0.6798100881941616,0.6071321540888618,0.8028469588453788,0,0,1050,0.6783228519974959,0.8019489216641433,0.5809945761630055,0.7349735222660285,0.6623193917604449,0.8306296691077175,0,0,1050
video02,0.9373521888122014,0.8432181312955888,0.7982326346074805,0.8877968503577061,0.8048508371391322,0.9023125101550528,0,0,83,0.9043390125006033,0.8633368658710777,0.7910914080641757,0.8833624062986186,0.7777576781720986,0.8887650500609069,0,0,83
video03,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100
video04,0.8908925256136974,0.3375561779456784,0.3241554444979578,0.489603310313554,0.4035989148640102,0.7005887459998961,0,0,341,0.3958691466685003,0.20183176669076885,0.15430411214076561,0.2673543488545564,0.2891144256034616,0.6431448630129217,0,0,341
video05,0.8418637282288274,0.84326404827604,0.7279562770972356,0.8425633064282355,0.7821820556042242,0.8908837006429874,0,0,450,0.8225158657621359,0.9445779035989622,0.7846485411140584,0.8793311658151417,0.7834239245780055,0.8915632068976094,0,0,450
video06,0.9754682007031,0.814825888709729,0.7984638888307557,0.8879398622230497,0.7681206374341529,0.8838763580257385,0,0,200,0.9754682007031,0.840281907278934,0.8228925147472743,0.9028426065607714,0.8015249251636648,0.9006055716166856,0,0,200
video07,0.8535178866889396,0.6176312837092801,0.5584375334672143,0.7166633522035388,0.5796476914788077,0.7884161847121267,653,625,2480,0.8240846045670563,0.7526494981771993,0.6484632925694286,0.7867488411691365,0.630249424395651,0.8141921760252876,653,469,2480
video08,0.8018903840038458,0.8423159827777773,0.6972255197404332,0.8216062174778801,0.7424474016887608,0.8708368340759907,233,186,2305,0.7851901506544383,0.9307044755940236,0.7418222799586441,0.8517772318037603,0.7841008394571051,0.8917467392644758,233,128,2305
video09,0.869058412122782,0.923484569716602,0.8106843221066473,0.895445232732179,0.782071420576918,0.8909219331070337,938,273,2500,0.8690843155031731,0.9240127440237023,0.8111138821098385,0.8957072110395837,0.7816789809812713,0.8907260276520734,938,274,2500
video10,0.6058803319376669,0.8836785232345621,0.5611281210349603,0.7188751691474966,0.6050603693159349,0.8022894745194016,328,76,2635,0.5907275855825802,0.8886796661204952,0.550027012210581,0.7096999057147482,0.595275034187345,0.7973920438750526,328,76,2635
video11,0.8658751692405616,0.894517166245939,0.7856555531627479,0.8799631617320565,0.7594490569237741,0.879389731490125,2,2,1000,0.8564799581416173,0.8972714018501461,0.779994915647647,0.8764012849596794,0.7509206076694891,0.875117960036452,2,2,1000
video12,0.6061251984795265,0.5078492872347288,0.38183791189638294,0.5526522446794976,0.4979629518995433,0.7487195125243531,147,139,1485,0.5837463311360246,0.6942807109910611,0.46437922006338705,0.6342335560365108,0.49682635610121045,0.748233428892943,147,138,1485
video13,0.4373393213115505,0.9011028439777921,0.4173090966334192,0.5888752109538663,0.41575341484901507,0.7077439690535812,1,0,1915,0.43707352840088903,0.9040122081836536,0.41768925559029874,0.5892536096231905,0.4165788385277351,0.7081569688558514,1,0,1915
video14,0.5170356096689226,0.9201698102771171,0.49483915106265897,0.6620634075724938,0.4776212073726728,0.7385909158762343,0,0,590,0.4967016573297799,0.92573927650824,0.4776692645091871,0.6465171550656115,0.4575014669047392,0.7285246751230208,0,0,590
video15,0.5731998525282891,0.9620997915060121,0.5605426932762388,0.7183945632393085,0.612457313217933,0.8061167031869972,245,30,1350,0.568815405121806,0.9645849163676936,0.5571791296038047,0.7156262487868927,0.6128418577461942,0.8063083060596401,245,25,1350
video16,0.29864096759230413,0.9261422191686706,0.2916939972004517,0.4516456650455195,0.30458212754745806,0.652135583524565,0,0,1285,0.29607244480445305,0.9278384066303617,0.2894083252688354,0.4489009720151996,0.302897377643529,0.6512928272644665,0,0,1285
video17,0.4675003913519907,0.8749064158067771,0.43820920829529153,0.6093817307910309,0.43645078174767904,0.7180568423385736,0,0,780,0.44650653122988887,0.8825895619885856,0.4214717278518421,0.5930075422446551,0.4221554193997405,0.710905354091635,0,0,780
video18,0.8801929777539533,0.962955722803245,0.8513653646733494,0.9197162061239731,0.8209175658047946,0.9104165082662479,39,2,1320,0.8801929777539533,0.9631716967243283,0.8515341790172103,0.9198147014161008,0.8216751415623702,0.9107953524985181,39,1,1320
video19,0.5995431397975044,0.9776778837401447,0.5914470395879398,0.7432820884081424,0.6464572213361713,0.8231578450247355,0,0,1300,0.5982034745420663,0.97808199943836,0.5902904887804217,0.7423681307848476,0.6456253823891153,0.8227417451580863,0,0,1300
video20,0.5942746997666164,0.6921897355002018,0.4700542339608728,0.6395059761766365,0.532401585425262,0.7659525780013527,0,0,1635,0.5073810326201642,0.6758956629731102,0.40809269640862217,0.5796389647492292,0.4705674055465248,0.7350110912622423,0,0,1635
