sequence,success_auc,precision_20px,norm_precision_0.20,norm_precision_auc,state_accuracy,mean_iou_present,present_frame_output_rate,absent_frame_fp_rate,n_frames,n_present,n_absent
video01,0.6278911564625851,0.7380952380952381,0.7333333333333333,0.6665546218487394,0.6401071705320932,0.6401071705320932,0.8895238095238095,nan,1050,1050,0
video02,0.6769936890418817,0.9156626506024096,0.8433734939759037,0.6992676588707769,0.6869450411179164,0.6869450411179164,0.9759036144578314,nan,83,83,0
video03,0.7771428571428574,1.0,0.99,0.8794117647058822,0.7926022777414896,0.7926022777414896,1.0,nan,100,100,0
video04,0.2850160592096076,0.2434017595307918,0.17302052785923755,0.22086136507388882,0.2865174896531409,0.2865174896531409,0.8768328445747801,nan,341,341,0
video05,0.7373544973544974,0.8955555555555555,0.8644444444444445,0.8031808278867101,0.7519319658861064,0.7519319658861064,0.9488888888888889,nan,450,450,0
video06,0.8666666666666666,1.0,1.0,0.9238235294117649,0.885752416058092,0.885752416058092,1.0,nan,200,200,0
video07,0.7187426694815857,0.8396278051450465,0.842911877394636,0.7774450776479174,0.6525285674420139,0.7324963586514475,0.9118773946360154,0.5712098009188361,2480,1827,653
video08,0.7527578599007171,0.915057915057915,0.9155405405405406,0.8227439624498445,0.7479606433009997,0.7664330515486506,0.9459459459459459,0.41630901287553645,2305,2072,233
video09,0.7652277300164622,0.9929577464788732,0.9955185659411011,0.8639250834776933,0.7559953218774584,0.7778414242596966,1.0,0.28038379530916846,2500,1562,938
video10,0.523892088261399,0.7485912440398786,0.7126137841352406,0.6375396279014423,0.564331205128271,0.5301312204217572,0.894234937147811,0.1951219512195122,2635,2307,328
video11,0.6592709227979768,0.8927855711422845,0.9048096192384769,0.83046485127117,0.6680605914782568,0.6693993902587744,0.9819639278557114,1.0,1000,998,2
video12,0.3400242010107481,0.7055306427503737,0.7055306427503737,0.6275975263049913,0.31811256134073235,0.33886184872271125,0.92152466367713,0.8707482993197279,1485,1338,147
video13,0.3518435587401105,0.6980146290491118,0.6577847439916406,0.5657692544102281,0.35170172128221916,0.3513630074479884,0.6980146290491118,0.0,1915,1914,1
video14,0.37723970944309926,0.7508474576271187,0.6677966101694915,0.5813559322033898,0.37646410281430404,0.37646410281430404,0.8288135593220339,nan,590,590,0
video15,0.31644042232277525,0.6642533936651583,0.6361990950226244,0.5611569514683702,0.42079447654578006,0.31499777677538743,0.6733031674208145,0.10204081632653061,1350,1105,245
video16,0.1897350379840652,0.40077821011673154,0.36342412451361866,0.32536812390325776,0.18890893368718129,0.18890893368718129,0.4163424124513619,nan,1285,1285,0
video17,0.2761904761904762,0.517948717948718,0.441025641025641,0.41206636500754146,0.2771045802902921,0.2771045802902921,0.6141025641025641,nan,780,780,0
video18,0.5813538530166165,0.9836065573770492,0.9836065573770492,0.890388942462231,0.5975880677045752,0.5861172906869939,0.9859484777517564,0.02564102564102564,1320,1281,39
video19,0.4082051282051282,0.8676923076923077,0.8530769230769231,0.7496078431372547,0.4069665431288863,0.4069665431288863,0.8815384615384615,nan,1300,1300,0
video20,0.38517547691859616,0.5718654434250765,0.5113149847094801,0.4848713797445584,0.38965653695793473,0.38965653695793473,0.9529051987767584,nan,1635,1635,0
