sequence,all_recall,all_precision,all_uav_iou,all_dice,all_uav_iou_per_image,all_miou_per_image,all_absent_frames,all_absent_frames_with_pred,all_n_images,track_recall,track_precision,track_uav_iou,track_dice,track_uav_iou_per_image,track_miou_per_image,track_absent_frames,track_absent_frames_with_pred,track_n_images
video01,0.7044817151459918,0.6568080392070953,0.5149335577517592,0.6798100881941616,0.6071321540888618,0.8028469588453788,0,0,1050,0.6674319971937881,0.8101132247668482,0.5771421688075897,0.7318835045085916,0.6587845905836015,0.8288624902303983,0,0,1050
video02,0.9373521888122014,0.8432181312955888,0.7982326346074805,0.8877968503577061,0.8048508371391322,0.9023125101550528,0,0,83,0.9043390125006033,0.8633368658710777,0.7910914080641757,0.8833624062986186,0.7777576781720986,0.8887650500609069,0,0,83
video03,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100
video04,0.8908925256136974,0.3375561779456784,0.3241554444979578,0.489603310313554,0.4035989148640102,0.7005887459998961,0,0,341,0.3427679983497215,0.19582318510370836,0.14236754452667316,0.24924998124953124,0.2447867237591973,0.6210492498379544,0,0,341
video05,0.8418637282288274,0.84326404827604,0.7279562770972356,0.8425633064282355,0.7821820556042242,0.8908837006429874,0,0,450,0.8111491574733211,0.9454380410808865,0.7748756448330352,0.873160491089987,0.7751352330897424,0.8874123330965217,0,0,450
video06,0.9754682007031,0.814825888709729,0.7984638888307557,0.8879398622230497,0.7681206374341529,0.8838763580257385,0,0,200,0.9754682007031,0.840281907278934,0.8228925147472743,0.9028426065607714,0.8015249251636648,0.9006055716166856,0,0,200
video07,0.8535178866889396,0.6176312837092801,0.5584375334672143,0.7166633522035388,0.5796476914788077,0.7884161847121267,653,625,2480,0.7904731184225987,0.773926397013338,0.6421874676370815,0.7821122500235801,0.6435556098230406,0.8208585091096546,653,373,2480
video08,0.8018903840038458,0.8423159827777773,0.6972255197404332,0.8216062174778801,0.7424474016887608,0.8708368340759907,233,186,2305,0.7490008375496968,0.9339952303204174,0.7113482166277924,0.8313307715124189,0.7770247063190335,0.888174749359094,233,97,2305
video09,0.869058412122782,0.923484569716602,0.8106843221066473,0.895445232732179,0.782071420576918,0.8909219331070337,938,273,2500,0.8690843155031731,0.9242257511239856,0.8112780127240031,0.895807277540914,0.7860789809812713,0.8929261489594467,938,263,2500
video10,0.6058803319376669,0.8836785232345621,0.5611281210349603,0.7188751691474966,0.6050603693159349,0.8022894745194016,328,76,2635,0.5865249045914432,0.8898227370643043,0.5468135922562364,0.7070193784095664,0.5964998184604806,0.798003001831756,328,64,2635
video11,0.8658751692405616,0.894517166245939,0.7856555531627479,0.8799631617320565,0.7594490569237741,0.879389731490125,2,2,1000,0.8547686731000556,0.8973409006932657,0.7786276983476709,0.8755375833526139,0.7485682823984422,0.8739397596788199,2,2,1000
video12,0.6061251984795265,0.5078492872347288,0.38183791189638294,0.5526522446794976,0.4979629518995433,0.7487195125243531,147,139,1485,0.5793869989895588,0.7286292591718554,0.47655306972933825,0.6454939947626719,0.5016378779547545,0.7506490403417785,147,128,1485
video13,0.4373393213115505,0.9011028439777921,0.4173090966334192,0.5888752109538663,0.41575341484901507,0.7077439690535812,1,0,1915,0.4328575029214307,0.9035479581782875,0.4137399363989172,0.5853126529802883,0.4124746600817905,0.7061040073258785,1,0,1915
video14,0.5170356096689226,0.9201698102771171,0.49483915106265897,0.6620634075724938,0.4776212073726728,0.7385909158762343,0,0,590,0.48952999588192786,0.9262422816818583,0.4711631941847769,0.6405315141748974,0.45015233147865485,0.7248474836516502,0,0,590
video15,0.5731998525282891,0.9620997915060121,0.5605426932762388,0.7183945632393085,0.612457313217933,0.8061167031869972,245,30,1350,0.5081875159524687,0.9655469701378336,0.4991364998718677,0.665898668886428,0.5670443970124595,0.7833951609049995,245,25,1350
video16,0.29864096759230413,0.9261422191686706,0.2916939972004517,0.4516456650455195,0.30458212754745806,0.652135583524565,0,0,1285,0.280432841090826,0.9273776271807317,0.2744067256948914,0.43064230619979904,0.2855471961146015,0.6426146123756523,0,0,1285
video17,0.4675003913519907,0.8749064158067771,0.43820920829529153,0.6093817307910309,0.43645078174767904,0.7180568423385736,0,0,780,0.3769154505765919,0.8778432683154078,0.3581315021856433,0.5273885505332904,0.3543695453886176,0.6769948082662008,0,0,780
video18,0.8801929777539533,0.962955722803245,0.8513653646733494,0.9197162061239731,0.8209175658047946,0.9104165082662479,39,2,1320,0.8801929777539533,0.9633988507135585,0.8517117227070239,0.9199182704982863,0.8216751415623702,0.9107954117419226,39,1,1320
video19,0.5995431397975044,0.9776778837401447,0.5914470395879398,0.7432820884081424,0.6464572213361713,0.8231578450247355,0,0,1300,0.5914192722869631,0.980230009393948,0.5844478767100038,0.7377306445997697,0.6419722004713629,0.8209142478553041,0,0,1300
video20,0.5942746997666164,0.6921897355002018,0.4700542339608728,0.6395059761766365,0.532401585425262,0.7659525780013527,0,0,1635,0.5000614167425189,0.684676487330309,0.40645480052428934,0.5779848742707888,0.4661578676852374,0.7328084275684063,0,0,1635
