sequence,success_auc,precision_20px,norm_precision_0.20,norm_precision_auc,state_accuracy,mean_iou_present,present_frame_output_rate,absent_frame_fp_rate,n_frames,n_present,n_absent
video01,0.6335600907029478,0.7533333333333333,0.7390476190476191,0.6724743230625583,0.6453609755767136,0.6453609755767136,0.9314285714285714,nan,1050,1050,0
video02,0.7309236947791165,1.0,0.927710843373494,0.7630522088353414,0.7418057555722872,0.7418057555722872,1.0,nan,83,83,0
video03,0.7771428571428574,1.0,0.99,0.8794117647058822,0.7926022777414896,0.7926022777414896,1.0,nan,100,100,0
video04,0.3047060466415305,0.2668621700879765,0.17595307917888564,0.2321890633086079,0.30525970227035937,0.30525970227035937,1.0,nan,341,341,0
video05,0.7578835978835977,0.9266666666666666,0.8844444444444445,0.8253594771241833,0.7725950693338813,0.7725950693338813,0.9777777777777777,nan,450,450,0
video06,0.8666666666666666,1.0,1.0,0.9238235294117649,0.885752416058092,0.885752416058092,1.0,nan,200,200,0
video07,0.7307842677300804,0.8483853311439519,0.8527640941434045,0.7899159663865547,0.6314351600016499,0.7438200310914569,0.9638752052545156,0.6830015313935681,2480,1827,653
video08,0.7567567567567569,0.9194015444015444,0.9165057915057915,0.826822620940268,0.7432706897186996,0.7699029632247116,0.9811776061776062,0.49356223175965663,2305,2072,233
video09,0.7652277300164622,0.9929577464788732,0.9955185659411011,0.8639250834776933,0.7695953218774585,0.7778414242596966,1.0,0.244136460554371,2500,1562,938
video10,0.5264309451565629,0.7585609016038145,0.7160814911140009,0.6450784908675218,0.5651035780102283,0.5323137962969015,0.9111400086692675,0.20426829268292682,2635,2307,328
video11,0.6602252123294207,0.8937875751503006,0.905811623246493,0.8326260363864983,0.668867112893327,0.6702075279492254,0.9859719438877755,1.0,1000,998,2
video12,0.34066481600113885,0.7040358744394619,0.703288490284006,0.6278466543568101,0.3132994389148498,0.33949900357888785,0.9409566517189836,0.9251700680272109,1485,1338,147
video13,0.353137284171767,0.7042842215256009,0.6630094043887147,0.5698055606777718,0.3529299945931003,0.3525919224899619,0.7048066875653083,0.0,1915,1914,1
video14,0.3788539144471348,0.7576271186440678,0.6677966101694915,0.5851113326686606,0.3778917966845299,0.3778917966845299,0.8372881355932204,nan,590,590,0
video15,0.33294548588666234,0.6941176470588235,0.6398190045248868,0.5785467128027683,0.4380458975858011,0.33064430926772087,0.7429864253393665,0.07755102040816327,1350,1105,245
video16,0.19525662405039834,0.4093385214007782,0.36264591439688715,0.3288929579613946,0.19448689124699928,0.19448689124699928,0.42412451361867703,nan,1285,1285,0
video17,0.30781440781440783,0.5948717948717949,0.46153846153846156,0.4497234791352438,0.30712211835597786,0.30712211835597786,0.7205128205128205,nan,780,780,0
video18,0.5813538530166165,0.9836065573770492,0.9836065573770492,0.890388942462231,0.5975880677045752,0.5861172906869939,0.9859484777517564,0.02564102564102564,1320,1281,39
video19,0.41036630036630034,0.8784615384615385,0.8584615384615385,0.7563348416289595,0.4089281619034539,0.4089281619034539,0.8838461538461538,nan,1300,1300,0
video20,0.4043978447648171,0.6250764525993884,0.563914373088685,0.5295077052227619,0.40822658271959056,0.40822658271959056,0.9779816513761468,nan,1635,1635,0
