sequence,all_recall,all_precision,all_uav_iou,all_dice,all_uav_iou_per_image,all_miou_per_image,all_absent_frames,all_absent_frames_with_pred,all_n_images,track_recall,track_precision,track_uav_iou,track_dice,track_uav_iou_per_image,track_miou_per_image,track_absent_frames,track_absent_frames_with_pred,track_n_images
video01,0.7044817151459918,0.6568080392070953,0.5149335577517592,0.6798100881941616,0.6071321540888618,0.8028469588453788,0,0,1050,0.6770355526240264,0.808253404689726,0.583341045812124,0.7368482581248539,0.6666626404935007,0.8328073867077755,0,0,1050
video02,0.9373521888122014,0.8432181312955888,0.7982326346074805,0.8877968503577061,0.8048508371391322,0.9023125101550528,0,0,83,0.9373521888122014,0.9090951645368159,0.8570230792992366,0.9230074616225464,0.8505109679625251,0.9251809440431522,0,0,83
video03,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100
video04,0.8908925256136974,0.3375561779456784,0.3241554444979578,0.489603310313554,0.4035989148640102,0.7005887459998961,0,0,341,0.3958691466685003,0.20183176669076885,0.15430411214076561,0.2673543488545564,0.2891144256034616,0.6431448630129217,0,0,341
video05,0.8418637282288274,0.84326404827604,0.7279562770972356,0.8425633064282355,0.7821820556042242,0.8908837006429874,0,0,450,0.8343910508090573,0.9492761582566288,0.7987775196712119,0.8881337585508805,0.7996825595741637,0.8997027634925208,0,0,450
video06,0.9754682007031,0.814825888709729,0.7984638888307557,0.8879398622230497,0.7681206374341529,0.8838763580257385,0,0,200,0.9754682007031,0.840281907278934,0.8228925147472743,0.9028426065607714,0.8015249251636648,0.9006055716166856,0,0,200
video07,0.8535178866889396,0.6176312837092801,0.5584375334672143,0.7166633522035388,0.5796476914788077,0.7884161847121267,653,625,2480,0.8248908338894173,0.7827229921850622,0.6711982321903702,0.803253880074608,0.6433157286841791,0.8208141082991763,653,446,2480
video08,0.8018903840038458,0.8423159827777773,0.6972255197404332,0.8216062174778801,0.7424474016887608,0.8708368340759907,233,186,2305,0.7855581649151776,0.934071406000916,0.7442900801259495,0.8534017232640648,0.7890438934098656,0.8942220179254425,233,115,2305
video09,0.869058412122782,0.923484569716602,0.8106843221066473,0.895445232732179,0.782071420576918,0.8909219331070337,938,273,2500,0.8690843155031731,0.9244469000881711,0.8114484071925193,0.8959111437792986,0.7996789809812712,0.899726274844456,938,229,2500
video10,0.6058803319376669,0.8836785232345621,0.5611281210349603,0.7188751691474966,0.6050603693159349,0.8022894745194016,328,76,2635,0.5910925402412407,0.88914670000579,0.5505224722830777,0.710112213301181,0.5989535145282031,0.7992316233077348,328,67,2635
video11,0.8658751692405616,0.894517166245939,0.7856555531627479,0.8799631617320565,0.7594490569237741,0.879389731490125,2,2,1000,0.8564799581416173,0.8974121304178883,0.780101258733013,0.8764684086435061,0.7509206076694891,0.8751181717521502,2,2,1000
video12,0.6061251984795265,0.5078492872347288,0.38183791189638294,0.5526522446794976,0.4979629518995433,0.7487195125243531,147,139,1485,0.584872251359284,0.7018575082713105,0.4684793710134315,0.6380469215445949,0.49809858707591814,0.7488721401251092,147,136,1485
video13,0.4373393213115505,0.9011028439777921,0.4173090966334192,0.5888752109538663,0.41575341484901507,0.7077439690535812,1,0,1915,0.43696354512751184,0.9039903677509267,0.41758415009065347,0.5891490111030788,0.4164778537744353,0.7081064525867122,1,0,1915
video14,0.5170356096689226,0.9201698102771171,0.49483915106265897,0.6620634075724938,0.4776212073726728,0.7385909158762343,0,0,590,0.4949223393757624,0.9254921903378133,0.47595812566782986,0.6449480068446686,0.4551414135442792,0.7273439083883726,0,0,590
video15,0.5731998525282891,0.9620997915060121,0.5605426932762388,0.7183945632393085,0.612457313217933,0.8061167031869972,245,30,1350,0.5687303252885625,0.9646633250916368,0.5571236484459212,0.7155804858553853,0.6172443020965133,0.8085095197824178,245,19,1350
video16,0.29864096759230413,0.9261422191686706,0.2916939972004517,0.4516456650455195,0.30458212754745806,0.652135583524565,0,0,1285,0.2955255086852071,0.9286025060911939,0.2889597422202365,0.44836115939897797,0.3023873021756335,0.6510377376316754,0,0,1285
video17,0.4675003913519907,0.8749064158067771,0.43820920829529153,0.6093817307910309,0.43645078174767904,0.7180568423385736,0,0,780,0.4410623902040248,0.8823396370848484,0.41656194301390564,0.5881309251152408,0.41618627624242716,0.7079194159473484,0,0,780
video18,0.8801929777539533,0.962955722803245,0.8513653646733494,0.9197162061239731,0.8209175658047946,0.9104165082662479,39,2,1320,0.8801929777539533,0.9631772357910597,0.8515385084704399,0.9198172272138134,0.8216751415623702,0.9107953539434792,39,1,1320
video19,0.5995431397975044,0.9776778837401447,0.5914470395879398,0.7432820884081424,0.6464572213361713,0.8231578450247355,0,0,1300,0.5993284498527227,0.9785062322112081,0.5915409391422275,0.7433562336901528,0.6463254602806787,0.8230920173341887,0,0,1300
video20,0.5942746997666164,0.6921897355002018,0.4700542339608728,0.6395059761766365,0.532401585425262,0.7659525780013527,0,0,1635,0.5302060138014444,0.7091099794017667,0.43548737582781455,0.606744974788341,0.49319399879046655,0.7463423942243957,0,0,1635
