sequence,success_auc,precision_20px,norm_precision_0.20,norm_precision_auc,state_accuracy,mean_iou_present,present_frame_output_rate,absent_frame_fp_rate,n_frames,n_present,n_absent
video01,0.6582312925170068,0.7847619047619048,0.7647619047619048,0.698954248366013,0.6706053554274793,0.6706053554274793,0.9361904761904762,nan,1050,1050,0
video02,0.7309236947791165,1.0,0.927710843373494,0.7630522088353414,0.7418057555722872,0.7418057555722872,1.0,nan,83,83,0
video03,0.7771428571428574,1.0,0.99,0.8794117647058822,0.7926022777414896,0.7926022777414896,1.0,nan,100,100,0
video04,0.37927663734115347,0.34310850439882695,0.26099706744868034,0.30308780403657065,0.3818743215671349,0.3818743215671349,1.0,nan,341,341,0
video05,0.7725925925925927,0.9377777777777778,0.8977777777777778,0.8360348583877995,0.7880106345657032,0.7880106345657032,0.9911111111111112,nan,450,450,0
video06,0.8666666666666666,1.0,1.0,0.9238235294117649,0.885752416058092,0.885752416058092,1.0,nan,200,200,0
video07,0.7781426746943988,0.8916256157635468,0.89272030651341,0.8210717237086407,0.6583419792154955,0.7940274266307763,0.9781061850027367,0.7212863705972435,2480,1827,653
video08,0.7729362015076301,0.9348455598455598,0.9338803088803089,0.8387652358240593,0.7581671115992389,0.7869571391101572,0.98503861003861,0.4978540772532189,2305,2072,233
video09,0.7654411316383147,0.9929577464788732,0.9961587708066582,0.8640757199166478,0.768543649104887,0.7780788237914325,1.0,0.24733475479744135,2500,1562,938
video10,0.5373294528040952,0.7719982661465106,0.7247507585609017,0.6577339214836346,0.5755311725995429,0.5433570176852168,0.9202427394885132,0.19817073170731708,2635,2307,328
video11,0.6675732417215384,0.9038076152304609,0.9188376753507014,0.840425949939094,0.67668468178438,0.678040763311002,0.9939879759519038,1.0,1000,998,2
video12,0.34020214961918993,0.6995515695067265,0.6995515695067265,0.6239924968492628,0.3116923740720766,0.3392101461113856,0.9499252615844545,0.9387755102040817,1485,1338,147
video13,0.3597551873413942,0.7068965517241379,0.6781609195402298,0.5749994877783925,0.3601124277443708,0.3597781082186364,0.7068965517241379,0.0,1915,1914,1
video14,0.3841000807102502,0.7864406779661017,0.6932203389830508,0.6031571950814224,0.38296473886747456,0.38296473886747456,0.8593220338983051,nan,590,590,0
video15,0.35595776772247356,0.7330316742081447,0.6895927601809955,0.6127051725667644,0.45805688656167176,0.3550921238536261,0.751131221719457,0.07755102040816327,1350,1105,245
video16,0.20326107096535115,0.4178988326848249,0.377431906614786,0.3377737087052719,0.20270970959663462,0.20270970959663462,0.4287937743190661,nan,1285,1285,0
video17,0.32094017094017097,0.6076923076923076,0.491025641025641,0.4668174962292609,0.32065746713074217,0.32065746713074217,0.7294871794871794,nan,780,780,0
video18,0.5813538530166165,0.9836065573770492,0.9836065573770492,0.890388942462231,0.5975880677045752,0.5861172906869939,0.9859484777517564,0.02564102564102564,1320,1281,39
video19,0.4113186813186814,0.8761538461538462,0.8553846153846154,0.7550980392156864,0.41001198211325274,0.41001198211325274,0.8830769230769231,nan,1300,1300,0
video20,0.41019367991845046,0.6324159021406728,0.5706422018348624,0.5351801882832644,0.4142962959460613,0.4142962959460613,0.9840978593272172,nan,1635,1635,0
