sequence,all_recall,all_precision,all_uav_iou,all_dice,all_uav_iou_per_image,all_miou_per_image,all_absent_frames,all_absent_frames_with_pred,all_n_images,track_recall,track_precision,track_uav_iou,track_dice,track_uav_iou_per_image,track_miou_per_image,track_absent_frames,track_absent_frames_with_pred,track_n_images
video01,0.7044817151459918,0.6568080392070953,0.5149335577517592,0.6798100881941616,0.6071321540888618,0.8028469588453788,0,0,1050,0.6907443678554466,0.8175167402622426,0.598469073184351,0.748802817926437,0.6878842720406607,0.8434399956336244,0,0,1050
video02,0.9373521888122014,0.8432181312955888,0.7982326346074805,0.8877968503577061,0.8048508371391322,0.9023125101550528,0,0,83,0.9373521888122014,0.9090951645368159,0.8570230792992366,0.9230074616225464,0.8505109679625251,0.9251809440431522,0,0,83
video03,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100
video04,0.8908925256136974,0.3375561779456784,0.3241554444979578,0.489603310313554,0.4035989148640102,0.7005887459998961,0,0,341,0.590851268651585,0.3169820717131474,0.2599275521239025,0.41260714028474704,0.35199249529598087,0.6749009209343795,0,0,341
video05,0.8418637282288274,0.84326404827604,0.7279562770972356,0.8425633064282355,0.7821820556042242,0.8908837006429874,0,0,450,0.8412651416654866,0.9518136337486619,0.8068994894525969,0.8931315705856426,0.8069614171522618,0.9033480297395763,0,0,450
video06,0.9754682007031,0.814825888709729,0.7984638888307557,0.8879398622230497,0.7681206374341529,0.8838763580257385,0,0,200,0.9754682007031,0.840281907278934,0.8228925147472743,0.9028426065607714,0.8015249251636648,0.9006055716166856,0,0,200
video07,0.8535178866889396,0.6176312837092801,0.5584375334672143,0.7166633522035388,0.5796476914788077,0.7884161847121267,653,625,2480,0.8366306708552165,0.772534659126966,0.6712712055096749,0.8033061340334197,0.6400598927334348,0.8191744668470432,653,471,2480
video08,0.8018903840038458,0.8423159827777773,0.6972255197404332,0.8216062174778801,0.7424474016887608,0.8708368340759907,233,186,2305,0.7908663787247447,0.9337050073764901,0.7488178925480229,0.8563703467797865,0.7905001323046581,0.894955223536174,233,116,2305
video09,0.869058412122782,0.923484569716602,0.8106843221066473,0.895445232732179,0.782071420576918,0.8909219331070337,938,273,2500,0.8690843155031731,0.9242431711419127,0.8112914351457087,0.8958154600675232,0.7984789809812713,0.8991261588776591,938,232,2500
video10,0.6058803319376669,0.8836785232345621,0.5611281210349603,0.7188751691474966,0.6050603693159349,0.8022894745194016,328,76,2635,0.5983759517689609,0.8913444651848266,0.5576962170967403,0.7160526050916187,0.6048053890548507,0.8021616370745862,328,65,2635
video11,0.8658751692405616,0.894517166245939,0.7856555531627479,0.8799631617320565,0.7594490569237741,0.879389731490125,2,2,1000,0.8592066865529946,0.8967959057857801,0.7818943121058425,0.8775989763184101,0.7537198295719961,0.8765202639380358,2,2,1000
video12,0.6061251984795265,0.5078492872347288,0.38183791189638294,0.5526522446794976,0.4979629518995433,0.7487195125243531,147,139,1485,0.5826252225376509,0.6974615663754025,0.4650859982946296,0.6348924211083758,0.4944304563505042,0.7470363332001666,147,138,1485
video13,0.4373393213115505,0.9011028439777921,0.4173090966334192,0.5888752109538663,0.41575341484901507,0.7077439690535812,1,0,1915,0.43730724285681555,0.9040585861265323,0.41791260477704495,0.5894758299899002,0.41678709967619604,0.7082611502072439,1,0,1915
video14,0.5170356096689226,0.9201698102771171,0.49483915106265897,0.6620634075724938,0.4776212073726728,0.7385909158762343,0,0,590,0.501643343874562,0.9253945274986741,0.48214419070093945,0.6506036237579862,0.4630334460438705,0.7312924707642047,0,0,590
video15,0.5731998525282891,0.9620997915060121,0.5605426932762388,0.7183945632393085,0.612457313217933,0.8061167031869972,245,30,1350,0.5708516491307677,0.9644202113897486,0.5590774255907742,0.7171900720439532,0.6188833668053382,0.8093295239060488,245,19,1350
video16,0.29864096759230413,0.9261422191686706,0.2916939972004517,0.4516456650455195,0.30458212754745806,0.652135583524565,0,0,1285,0.297858641244522,0.9282601190989902,0.29115628764397766,0.45100084386416406,0.3041566914117632,0.6519228685328,0,0,1285
video17,0.4675003913519907,0.8749064158067771,0.43820920829529153,0.6093817307910309,0.43645078174767904,0.7180568423385736,0,0,780,0.45033308402762073,0.8816208393632416,0.4246549504260327,0.5961513000731057,0.4245967442799356,0.712126791311254,0,0,780
video18,0.8801929777539533,0.962955722803245,0.8513653646733494,0.9197162061239731,0.8209175658047946,0.9104165082662479,39,2,1320,0.8801929777539533,0.9631772357910597,0.8515385084704399,0.9198172272138134,0.8216751415623702,0.9107953539434792,39,1,1320
video19,0.5995431397975044,0.9776778837401447,0.5914470395879398,0.7432820884081424,0.6464572213361713,0.8231578450247355,0,0,1300,0.5994057382328442,0.978701029193191,0.5916874353627316,0.7434718930578116,0.6463876834895453,0.8231231626787094,0,0,1300
video20,0.5942746997666164,0.6921897355002018,0.4700542339608728,0.6395059761766365,0.532401585425262,0.7659525780013527,0,0,1635,0.5416326774865119,0.7100242358682592,0.4435234283120474,0.6145011845504604,0.4991196755752811,0.7493080911221588,0,0,1635
