sequence,all_recall,all_precision,all_uav_iou,all_dice,all_uav_iou_per_image,all_miou_per_image,all_absent_frames,all_absent_frames_with_pred,all_n_images,track_recall,track_precision,track_uav_iou,track_dice,track_uav_iou_per_image,track_miou_per_image,track_absent_frames,track_absent_frames_with_pred,track_n_images
video01,0.7044817151459918,0.6568080392070953,0.5149335577517592,0.6798100881941616,0.6071321540888618,0.8028469588453788,0,0,1050,0.6569556964256044,0.7014398738430385,0.5133966748335581,0.6784694103943646,0.6231717924922763,0.8109113891289924,0,0,1050
video02,0.9373521888122014,0.8432181312955888,0.7982326346074805,0.8877968503577061,0.8048508371391322,0.9023125101550528,0,0,83,0.9228727255176408,0.8591391085549964,0.8015846398926805,0.8898662012798139,0.8186952980191231,0.9092388001350147,0,0,83
video03,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100
video04,0.8908925256136974,0.3375561779456784,0.3241554444979578,0.489603310313554,0.4035989148640102,0.7005887459998961,0,0,341,0.4632039469160421,0.23005664863757253,0.1816321990940466,0.3074259473181306,0.31953770154222116,0.6584102157916638,0,0,341
video05,0.8418637282288274,0.84326404827604,0.7279562770972356,0.8425633064282355,0.7821820556042242,0.8908837006429874,0,0,450,0.8242150792322644,0.8957024747142678,0.7520393241600452,0.8584731104943486,0.792601364803834,0.8961216276434215,0,0,450
video06,0.9754682007031,0.814825888709729,0.7984638888307557,0.8879398622230497,0.7681206374341529,0.8838763580257385,0,0,200,0.9754682007031,0.840281907278934,0.8228925147472743,0.9028426065607714,0.8015249251636648,0.9006055716166856,0,0,200
video07,0.8535178866889396,0.6176312837092801,0.5584375334672143,0.7166633522035388,0.5796476914788077,0.7884161847121267,653,625,2480,0.8480800879092943,0.6892574779523227,0.6135080145065134,0.7604647872717918,0.5840588666650411,0.7909146249796428,653,625,2480
video08,0.8018903840038458,0.8423159827777773,0.6972255197404332,0.8216062174778801,0.7424474016887608,0.8708368340759907,233,186,2305,0.7952288033490045,0.894090375384915,0.7267680120179041,0.8417668232904103,0.7547731750330717,0.877054376519298,233,186,2305
video09,0.869058412122782,0.923484569716602,0.8106843221066473,0.895445232732179,0.782071420576918,0.8909219331070337,938,273,2500,0.869058412122782,0.9236464800875178,0.8108090919497831,0.895521339664522,0.782071420576918,0.8909220254227075,938,273,2500
video10,0.6058803319376669,0.8836785232345621,0.5611281210349603,0.7188751691474966,0.6050603693159349,0.8022894745194016,328,76,2635,0.603697732006381,0.889666691177243,0.561648014387764,0.7193016726089269,0.6047936329805959,0.8021574813565017,328,76,2635
video11,0.8658751692405616,0.894517166245939,0.7856555531627479,0.8799631617320565,0.7594490569237741,0.879389731490125,2,2,1000,0.8653101350148608,0.8959717721047068,0.7863108878132468,0.8803740638627884,0.7588724872056889,0.8791029646088339,2,2,1000
video12,0.6061251984795265,0.5078492872347288,0.38183791189638294,0.5526522446794976,0.4979629518995433,0.7487195125243531,147,139,1485,0.6012991387191454,0.6509156822301394,0.4546770965981444,0.6251244316163854,0.501011761025943,0.7503133502583816,147,139,1485
video13,0.4373393213115505,0.9011028439777921,0.4173090966334192,0.5888752109538663,0.41575341484901507,0.7077439690535812,1,0,1915,0.43725683385651765,0.9040657185359244,0.41786809144258563,0.589431547214569,0.4167547803146908,0.7082449815684664,1,0,1915
video14,0.5170356096689226,0.9201698102771171,0.49483915106265897,0.6620634075724938,0.4776212073726728,0.7385909158762343,0,0,590,0.5163984739823312,0.9257696057946789,0.49586659703051555,0.6629823782613683,0.47901381422224987,0.7392883902166824,0,0,590
video15,0.5731998525282891,0.9620997915060121,0.5605426932762388,0.7183945632393085,0.612457313217933,0.8061167031869972,245,30,1350,0.5729389410396756,0.963772195135914,0.560859957135401,0.7186550652048636,0.6128152194310622,0.8062958513841071,245,30,1350
video16,0.29864096759230413,0.9261422191686706,0.2916939972004517,0.4516456650455195,0.30458212754745806,0.652135583524565,0,0,1285,0.29844711681586256,0.9270537634408602,0.2915993046207545,0.4515321486741978,0.30459908941615976,0.6521440941791787,0,0,1285
video17,0.4675003913519907,0.8749064158067771,0.43820920829529153,0.6093817307910309,0.43645078174767904,0.7180568423385736,0,0,780,0.46703946567408205,0.8841164268545653,0.4400983405039951,0.6112059546571975,0.4382853595801322,0.7189755842661062,0,0,780
video18,0.8801929777539533,0.962955722803245,0.8513653646733494,0.9197162061239731,0.8209175658047946,0.9104165082662479,39,2,1320,0.8801929777539533,0.963066466559713,0.8514519277696437,0.9197667138950213,0.8209175658047946,0.9104165371654697,39,2,1320
video19,0.5995431397975044,0.9776778837401447,0.5914470395879398,0.7432820884081424,0.6464572213361713,0.8231578450247355,0,0,1300,0.5995431397975044,0.9779517852890501,0.5915472670118029,0.7433612300091569,0.6464829062048633,0.8231707168058288,0,0,1300
video20,0.5942746997666164,0.6921897355002018,0.4700542339608728,0.6395059761766365,0.532401585425262,0.7659525780013527,0,0,1635,0.5734685971471136,0.716554769344594,0.4674335797005086,0.637076302691544,0.5318436694012603,0.7656797866369711,0,0,1635
