sequence,all_recall,all_precision,all_uav_iou,all_dice,all_uav_iou_per_image,all_miou_per_image,all_absent_frames,all_absent_frames_with_pred,all_n_images,track_recall,track_precision,track_uav_iou,track_dice,track_uav_iou_per_image,track_miou_per_image,track_absent_frames,track_absent_frames_with_pred,track_n_images
video01,0.7044817151459918,0.6568080392070953,0.5149335577517592,0.6798100881941616,0.6071321540888618,0.8028469588453788,0,0,1050,0.6607034663095124,0.82863090802696,0.5812776676894544,0.7351999962648066,0.6577902881963986,0.8283795336625072,0,0,1050
video02,0.9373521888122014,0.8432181312955888,0.7982326346074805,0.8877968503577061,0.8048508371391322,0.9023125101550528,0,0,83,0.9035667744582268,0.8680793842158954,0.7944746223052114,0.885467659926688,0.7774144310206212,0.8885958388718883,0,0,83
video03,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100,0.900610794864337,0.9449797270785194,0.855738481582376,0.922261935154455,0.8175957410978612,0.9087280955558984,0,0,100
video04,0.8908925256136974,0.3375561779456784,0.3241554444979578,0.489603310313554,0.4035989148640102,0.7005887459998961,0,0,341,0.31637213779825346,0.18729709650827897,0.1333342993139123,0.23529562176778557,0.2347554115140611,0.6160391407409497,0,0,341
video05,0.8418637282288274,0.84326404827604,0.7279562770972356,0.8425633064282355,0.7821820556042242,0.8908837006429874,0,0,450,0.809578672296384,0.9456578126292206,0.77358943134433,0.8723433029908972,0.7739302744326416,0.8868090102758098,0,0,450
video06,0.9754682007031,0.814825888709729,0.7984638888307557,0.8879398622230497,0.7681206374341529,0.8838763580257385,0,0,200,0.9754682007031,0.8403004140604352,0.8229102634615592,0.9028532890027391,0.8015346570083127,0.9006104566768866,0,0,200
video07,0.8535178866889396,0.6176312837092801,0.5584375334672143,0.7166633522035388,0.5796476914788077,0.7884161847121267,653,625,2480,0.7526409367926558,0.8050836102952772,0.6366337562000132,0.7779795006528144,0.6271687683630103,0.8126878602662466,653,373,2480
video08,0.8018903840038458,0.8423159827777773,0.6972255197404332,0.8216062174778801,0.7424474016887608,0.8708368340759907,233,186,2305,0.730778533048875,0.9350227985153744,0.6954604579395632,0.8203794487601713,0.7720089563500696,0.8856491008546625,233,97,2305
video09,0.869058412122782,0.923484569716602,0.8106843221066473,0.895445232732179,0.782071420576918,0.8909219331070337,938,273,2500,0.8678941233409907,0.924364549830474,0.8103474612517566,0.8952397024286658,0.7857388031340475,0.892755526602807,938,263,2500
video10,0.6058803319376669,0.8836785232345621,0.5611281210349603,0.7188751691474966,0.6050603693159349,0.8022894745194016,328,76,2635,0.5858819571263812,0.8903801823349973,0.546464748541993,0.7067277143655554,0.5962287779371989,0.7978674052104586,328,64,2635
video11,0.8658751692405616,0.894517166245939,0.7856555531627479,0.8799631617320565,0.7594490569237741,0.879389731490125,2,2,1000,0.8546877612777595,0.8974960987173206,0.778677386618571,0.87556899579064,0.748617676483685,0.8739645888917158,2,2,1000
video12,0.6061251984795265,0.5078492872347288,0.38183791189638294,0.5526522446794976,0.4979629518995433,0.7487195125243531,147,139,1485,0.5793869989895588,0.7489131448829182,0.48514711866592,0.6533320673331253,0.5016378779547545,0.7506547893602838,147,128,1485
video13,0.4373393213115505,0.9011028439777921,0.4173090966334192,0.5888752109538663,0.41575341484901507,0.7077439690535812,1,0,1915,0.4328254244666957,0.904112342771811,0.4138289109327351,0.5854016815368739,0.41262602410570803,0.7061797481269874,1,0,1915
video14,0.5170356096689226,0.9201698102771171,0.49483915106265897,0.6620634075724938,0.4776212073726728,0.7385909158762343,0,0,590,0.4894056767235686,0.9264837831874678,0.471110479509944,0.6404827999959326,0.45015275419524337,0.7248477047454761,0,0,590
video15,0.5731998525282891,0.9620997915060121,0.5605426932762388,0.7183945632393085,0.612457313217933,0.8061167031869972,245,30,1350,0.5080116842970988,0.9655875028299751,0.49897769879162324,0.6657573347406918,0.5669393209099733,0.7833425861379241,245,25,1350
video16,0.29864096759230413,0.9261422191686706,0.2916939972004517,0.4516456650455195,0.30458212754745806,0.652135583524565,0,0,1285,0.2801697578942267,0.9273781424020899,0.2741548675563986,0.43033209625793556,0.28536433455469573,0.6425231296588128,0,0,1285
video17,0.4675003913519907,0.8749064158067771,0.43820920829529153,0.6093817307910309,0.43645078174767904,0.7180568423385736,0,0,780,0.37596750908806287,0.8802891468132763,0.35768005626111776,0.5268988884555382,0.35422086906104283,0.6769205755292869,0,0,780
video18,0.8801929777539533,0.962955722803245,0.8513653646733494,0.9197162061239731,0.8209175658047946,0.9104165082662479,39,2,1320,0.8801929777539533,0.9633988507135585,0.8517117227070239,0.9199182704982863,0.8216751415623702,0.9107954117419226,39,1,1320
video19,0.5995431397975044,0.9776778837401447,0.5914470395879398,0.7432820884081424,0.6464572213361713,0.8231578450247355,0,0,1300,0.5914020970913806,0.9802433990463312,0.5844358637077269,0.7377210742252359,0.6419695428244246,0.8209129175665586,0,0,1300
video20,0.5942746997666164,0.6921897355002018,0.4700542339608728,0.6395059761766365,0.532401585425262,0.7659525780013527,0,0,1635,0.4996551213689319,0.6904352594539781,0.40820622079499375,0.5797534690118661,0.4676638762546697,0.7335636065375529,0,0,1635
