sequence,success_auc,precision_20px,norm_precision_0.20,norm_precision_auc,state_accuracy,mean_iou_present,present_frame_output_rate,absent_frame_fp_rate,n_frames,n_present,n_absent
video01,0.59437641723356,0.6933333333333334,0.6895238095238095,0.6313538748832866,0.605640802124718,0.605640802124718,0.9857142857142858,nan,1050,1050,0
video02,0.7068273092369478,0.963855421686747,0.891566265060241,0.7351759981100874,0.717476602374944,0.717476602374944,1.0,nan,83,83,0
video03,0.7771428571428574,1.0,0.99,0.8794117647058822,0.7926022777414896,0.7926022777414896,1.0,nan,100,100,0
video04,0.3559558720849043,0.31085043988269795,0.2316715542521994,0.27887988039790695,0.3583861882949438,0.3583861882949438,1.0,nan,341,341,0
video05,0.7535449735449734,0.9111111111111111,0.8777777777777778,0.8158169934640523,0.7685650300081599,0.7685650300081599,1.0,nan,450,450,0
video06,0.8666666666666666,1.0,1.0,0.9238235294117649,0.885752416058092,0.885752416058092,1.0,nan,200,200,0
video07,0.8003492584773374,0.9178981937602627,0.9217296113847838,0.8487609603228267,0.6132605901885085,0.8171243917172968,1.0,0.9571209800918836,2480,1827,653
video08,0.7784289391432248,0.9411196911196911,0.943050193050193,0.8480297524415172,0.7332130650695488,0.7929807504755356,0.999034749034749,0.7982832618025751,2305,2072,233
video09,0.7652277300164622,0.9929577464788732,0.9955185659411011,0.8639250834776933,0.7519953218774584,0.7778414242596966,1.0,0.291044776119403,2500,1562,938
video10,0.5368340660928437,0.7785002167316861,0.7282184655396619,0.6612951205623125,0.5706364108752584,0.5425344354817103,0.9362808842652796,0.23170731707317074,2635,2307,328
video11,0.6681935299169769,0.9048096192384769,0.9178356713426854,0.8442374945970371,0.6770147529546714,0.6783714959465645,1.0,1.0,1000,998,2
video12,0.34600327425439525,0.7137518684603886,0.7130044843049327,0.6350420586769835,0.3162158078694909,0.3449779332482766,0.976831091180867,0.9455782312925171,1485,1338,147
video13,0.3552271483305966,0.7058516196447231,0.6656217345872518,0.5720695801831704,0.3551785851116359,0.35484168782068065,0.7058516196447231,0.0,1915,1914,1
video14,0.40064568200161427,0.8203389830508474,0.7169491525423729,0.629046194749086,0.3993937861271354,0.3993937861271354,0.9,nan,590,590,0
video15,0.35660418013359185,0.7547511312217194,0.7212669683257918,0.6352763729926361,0.44967970711320354,0.35481231185775997,0.7683257918552037,0.12244897959183673,1350,1105,245
video16,0.20263109134704468,0.4287937743190661,0.3867704280155642,0.34750896467536424,0.20187246474311377,0.20187246474311377,0.45058365758754865,nan,1285,1285,0
video17,0.3470695970695971,0.6871794871794872,0.5782051282051283,0.5365761689291102,0.3471312452435661,0.3471312452435661,0.7884615384615384,nan,780,780,0
video18,0.5813538530166165,0.9836065573770492,0.9836065573770492,0.890388942462231,0.5968304919469994,0.5861172906869939,0.9867291178766588,0.05128205128205128,1320,1281,39
video19,0.41208791208791207,0.8807692307692307,0.8623076923076923,0.7587631975867268,0.41078457572674737,0.41078457572674737,0.8976923076923077,nan,1300,1300,0
video20,0.43317314693461484,0.6960244648318042,0.6311926605504588,0.5877316064040294,0.4368823601275837,0.4368823601275837,1.0,nan,1635,1635,0
