sequence,all_recall,all_precision,all_uav_iou,all_dice,all_uav_iou_per_image,all_miou_per_image,all_absent_frames,all_absent_frames_with_pred,all_n_images,track_recall,track_precision,track_uav_iou,track_dice,track_uav_iou_per_image,track_miou_per_image,track_absent_frames,track_absent_frames_with_pred,track_n_images
video01,0.7044817151459918,0.6568080392070953,0.5149335577517592,0.6798100881941616,0.6071321540888618,0.8028469588453788,0,0,1050,0.649711910120657,0.7150189970096102,0.5160736425324286,0.6808028687450647,0.6215201335095771,0.8101001381418991,0,0,1050
video02,0.9373521888122014,0.8432181312955888,0.7982326346074805,0.8877968503577061,0.8048508371391322,0.9023125101550528,0,0,83,0.9221004874752643,0.8645970041182061,0.8057441693728649,0.8924233931240658,0.8183520508676457,0.9090700945082842,0,0,83
video03,0.9006523455353804,0.9449409302933868,0.8557441768653771,0.92226524273497,0.8176222705389011,0.908741360266511,0,0,100,0.900610794864337,0.9449797270785194,0.855738481582376,0.922261935154455,0.8175957410978612,0.9087280955558984,0,0,100
video04,0.8908925256136974,0.3375561779456784,0.3241554444979578,0.489603310313554,0.4035989148640102,0.7005887459998961,0,0,341,0.42603830021316097,0.21630148762638715,0.16749342758858393,0.286928257805332,0.30173822872696265,0.6494906481003704,0,0,341
video05,0.8418637282288274,0.84326404827604,0.7279562770972356,0.8425633064282355,0.7821820556042242,0.8908837006429874,0,0,450,0.8228312500804552,0.897954596538548,0.752469186669335,0.8587531151967864,0.7915624054945659,0.8956028599538556,0,0,450
video06,0.9754682007031,0.814825888709729,0.7984638888307557,0.8879398622230497,0.7681206374341529,0.8838763580257385,0,0,200,0.9754682007031,0.8403004140604352,0.8229102634615592,0.9028532890027391,0.8015346570083127,0.9006104566768866,0,0,200
video07,0.8535178866889396,0.6176312837092801,0.5584375334672143,0.7166633522035388,0.5796476914788077,0.7884161847121267,653,625,2480,0.8461794262987423,0.7103884904583467,0.6291433337435826,0.7723609343787867,0.5833146458901475,0.7906163482781696,653,625,2480
video08,0.8018903840038458,0.8423159827777773,0.6972255197404332,0.8216062174778801,0.7424474016887608,0.8708368340759907,233,186,2305,0.7930990981037934,0.8994501470930601,0.7285088940300084,0.8429333474026786,0.7539921222037708,0.8766676312909447,233,186,2305
video09,0.869058412122782,0.923484569716602,0.8106843221066473,0.895445232732179,0.782071420576918,0.8909219331070337,938,273,2500,0.8678941233409907,0.9237783730602128,0.8098969365958416,0.8949647023759733,0.7817388031340476,0.8907551931982658,938,273,2500
video10,0.6058803319376669,0.8836785232345621,0.5611281210349603,0.7188751691474966,0.6050603693159349,0.8022894745194016,328,76,2635,0.6029393106063522,0.8900805192290694,0.5611560236543818,0.7188980667554519,0.6044233961222687,0.801972185963003,328,76,2635
video11,0.8658751692405616,0.894517166245939,0.7856555531627479,0.8799631617320565,0.7594490569237741,0.879389731490125,2,2,1000,0.865106506928749,0.8960849936863748,0.7862299035960889,0.8803233021832503,0.7587740659768829,0.8790536726451316,2,2,1000
video12,0.6061251984795265,0.5078492872347288,0.38183791189638294,0.5526522446794976,0.4979629518995433,0.7487195125243531,147,139,1485,0.6012991387191454,0.6596218607155299,0.45890803331423785,0.6291116682272632,0.501011761025943,0.750316604952951,147,139,1485
video13,0.4373393213115505,0.9011028439777921,0.4173090966334192,0.5888752109538663,0.41575341484901507,0.7077439690535812,1,0,1915,0.43722017276539193,0.9046070409314585,0.41795020063431987,0.5895132289516937,0.4168981734311097,0.7083167339271736,1,0,1915
video14,0.5170356096689226,0.9201698102771171,0.49483915106265897,0.6620634075724938,0.4776212073726728,0.7385909158762343,0,0,590,0.5163052346135617,0.9260023132986803,0.49584735581407496,0.6629651800858026,0.47904477523980565,0.7393038933898488,0,0,590
video15,0.5731998525282891,0.9620997915060121,0.5605426932762388,0.7183945632393085,0.612457313217933,0.8061167031869972,245,30,1350,0.5726780295510621,0.9638022871761583,0.5606201102739079,0.7184581392783824,0.6126498726300074,0.8062131200761357,245,30,1350
video16,0.29864096759230413,0.9261422191686706,0.2916939972004517,0.4516456650455195,0.30458212754745806,0.652135583524565,0,0,1285,0.2981494174091844,0.9272057873659734,0.29133011324430735,0.45120935422527464,0.3044153771491733,0.6520521905660575,0,0,1285
video17,0.4675003913519907,0.8749064158067771,0.43820920829529153,0.6093817307910309,0.43645078174767904,0.7180568423385736,0,0,780,0.4657523524602995,0.8861880098621614,0.4394653055865555,0.6105952034842292,0.43788451438875436,0.7187751937575316,0,0,780
video18,0.8801929777539533,0.962955722803245,0.8513653646733494,0.9197162061239731,0.8209175658047946,0.9104165082662479,39,2,1320,0.8801929777539533,0.963066466559713,0.8514519277696437,0.9197667138950213,0.8209175658047946,0.9104165371654697,39,2,1320
video19,0.5995431397975044,0.9776778837401447,0.5914470395879398,0.7432820884081424,0.6464572213361713,0.8231578450247355,0,0,1300,0.5995259646019219,0.9779648670607682,0.5915353329944077,0.7433518071904298,0.646480248557925,0.8231693865170832,0,0,1300
video20,0.5942746997666164,0.6921897355002018,0.4700542339608728,0.6395059761766365,0.532401585425262,0.7659525780013527,0,0,1635,0.5734559988409559,0.7212736794568085,0.4694286384625499,0.6389267585715614,0.5340234426196898,0.7667716111683925,0,0,1635
